Number of Bills: 2804
61 	SB 	Zaffirini 	Relating to public school accountability for bilingual education and English as a second language and other special language programs. 	01/24/2017 	S 	Referred to Education 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB61
62 	SB 	Zaffirini 	Relating to erecting certain signs on private property before an election. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB62
63 	SB 	Zaffirini 	Relating to the electronic filing of reports of political contributions and expenditures and of personal financial statements by certain officeholders and candidates and the content of those statements; creating a criminal offense. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB63
64 	SB 	Zaffirini 	Relating to recording of minutes for a local canvassing authority. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB64
65 	SB 	Zaffirini 	Relating to the regulation of funeral services, funeral homes, cemeteries, and crematories; imposing penalties. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB65
66 	SB 	Zaffirini 	Relating to an exemption from the motor vehicle sales and use tax for certain military servicemembers serving on active duty. 	01/24/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB66
67 	SB 	Zaffirini 	Relating to the use of a wireless communication device while operating a motor vehicle; creating a criminal offense. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB67
68 	SB 	Zaffirini 	Relating to the eligibility for service retirement annuities from the Employees Retirement System of Texas of certain elected officials convicted of certain offenses. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB68
69 	SB 	Zaffirini 	Relating to civil or criminal liability for leaving certain animals unattended in or removing certain individuals or animals from a motor vehicle. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB69
70 	SB 	Zaffirini 	Relating to the required earnings statement provided by employers. 	01/24/2017 	S 	Referred to Natural Resources &amp; Economic Development 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB70
71 	SB 	Zaffirini 	Relating to the transfer of certain state real property to the City of San Marcos. 	01/24/2017 	S 	Referred to Natural Resources &amp; Economic Development 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB71
72 	SB 	Nelson 	Relating to the decrease of the rates of the franchise tax under certain circumstances and the expiration of that tax. 	01/24/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB72
73 	SB 	Nelson 	Relating to leave policy and procedures for state employees. 	03/06/2017 	S 	Committee report printed and distributed: Mar  6 2017  3:15PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB73
