District,House URL,TLO URL,House Members,First Name,Party
121,http://www.house.state.tx.us/members/member-page/?district=121,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4565,Straus, Joe,R
64,http://www.house.state.tx.us/members/member-page/?district=64,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3220,Stucky, Lynn,R
150,http://www.house.state.tx.us/members/member-page/?district=150,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3425,Swanson, Valoree ,"F,R"
146,http://www.house.state.tx.us/members/member-page/?district=146,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3390,Thierry, Shawn ,"F,D"
29,http://www.house.state.tx.us/members/member-page/?district=29,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2815,Thompson Ed, Ed,R
141,http://www.house.state.tx.us/members/member-page/?district=141,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4630,Thompson Senfronia, Senfronia,D
94,http://www.house.state.tx.us/members/member-page/?district=94,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3065,Tinderholt, Tony,R
101,http://www.house.state.tx.us/members/member-page/?district=101,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4680,Turner Chris, Chris,D
118,http://www.house.state.tx.us/members/member-page/?district=118,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3435,Uresti Tomas, Tomas,D
1,http://www.house.state.tx.us/members/member-page/?district=1,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2540,VanDeaver, Gary,R
114,http://www.house.state.tx.us/members/member-page/?district=114,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2855,Villalba, Jason,R
149,http://www.house.state.tx.us/members/member-page/?district=149,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4900,Vo, Hubert,D
140,http://www.house.state.tx.us/members/member-page/?district=140,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4930,Walle, Amando,D
19,http://www.house.state.tx.us/members/member-page/?district=19,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2030,White, James,R
20,http://www.house.state.tx.us/members/member-page/?district=20,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3525,Wilson, Terry ,"F,R"
47,http://www.house.state.tx.us/members/member-page/?district=47,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2075,Workman, Paul,R
10,http://www.house.state.tx.us/members/member-page/?district=10,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2890,Wray, John,R
137,http://www.house.state.tx.us/members/member-page/?district=137,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2865,Wu, Gene,D
96,http://www.house.state.tx.us/members/member-page/?district=96,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A5150,Zedler, Bill,R
28,http://www.house.state.tx.us/members/member-page/?district=28,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A5170,Zerwas, John,R
